row_id,analysis_id,analysis_name,cancer_id,cancer_name,phecode,phecode_sort,disease_name,system,system_display,disease_system,disease_system_display,system_color,sex,count,beta,se,effect_ratio,hr_original,hr_plot,ci_lower,ci_upper,p_value,q_value,significant,positive_significant,direction,model_type,effect_measure,events_group_one,person_years_group_one,incidence_rate_group_one,events_group_two,person_years_group_two,incidence_rate_group_two,group_one_label,group_two_label,incidence_rate_cancer,incidence_rate_matched_unexposed,comparison_label
78,analysis,MDD diagnosis,analysis,MDD diagnosis,428.2,428.2,Heart failure NOS,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,2040.0,0.4755952686221131,0.024775010589481,1.608971682833677,1.608971682833677,1.608971682833677,1.5327082181203393,1.6890298137341742,3.9533978778463476e-82,2.8282000203054646e-81,True,True,elevated,,Hazard ratio,2040.0,460.02,4.43,12626.0,4498.1,2.81,Exposed group,Unexposed group,4.43,2.81,Unexposed group
186,analysis,MDD diagnosis,analysis,MDD diagnosis,433.2,433.2,Occlusion of cerebral arteries,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,1988.0,0.4173944523425814,0.0248259588784397,1.5180011739748134,1.5180011739748134,1.5180011739748134,1.4459052166559654,1.5936919914558942,1.965825294858136e-63,1.1080106207382219e-62,True,True,elevated,,Hazard ratio,1988.0,440.78,4.51,12617.0,4247.66,2.97,Exposed group,Unexposed group,4.51,2.97,Unexposed group
58,analysis,MDD diagnosis,analysis,MDD diagnosis,458.1,458.1,Orthostatic hypotension,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,448.0,0.8833768391412388,0.0546736575853291,2.4190546881929698,2.4190546881929698,2.4190546881929698,2.1732341946555858,2.6926806134650314,1.0093981387809536e-58,5.215223717034927e-58,True,True,elevated,,Hazard ratio,448.0,465.14,0.96,1930.0,4562.02,0.42,Exposed group,Unexposed group,0.96,0.42,Unexposed group
92,analysis,MDD diagnosis,analysis,MDD diagnosis,427.4,427.4,Cardiac arrest and ventricular fibrillation,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,673.0,0.6202542641846189,0.0436391149463461,1.8594007607643657,1.8594007607643657,1.8594007607643657,1.7069729529315332,2.0254399363466526,7.580804923014389e-46,3.2229393578452854e-45,True,True,elevated,,Hazard ratio,673.0,451.95,1.49,3523.0,4323.96,0.81,Exposed group,Unexposed group,1.49,0.81,Unexposed group
119,analysis,MDD diagnosis,analysis,MDD diagnosis,433.8,433.8,Late effects of cerebrovascular disease,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,658.0,0.5309954053158732,0.0435780145329668,1.7006242768272282,1.7006242768272282,1.7006242768272282,1.5613994412175176,1.852263331591159,3.7393759021148446e-34,1.2420069960595735e-33,True,True,elevated,,Hazard ratio,658.0,446.87,1.47,3761.0,4288.27,0.88,Exposed group,Unexposed group,1.47,0.88,Unexposed group
41,analysis,MDD diagnosis,analysis,MDD diagnosis,433.3,433.3,Cerebral ischemia,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,1018.0,0.375932244426115,0.0343406806523955,1.4563484547027705,1.4563484547027705,1.4563484547027705,1.3615510261853871,1.5577461150738843,6.857870400324212e-28,2.1992480938970748e-27,True,True,elevated,,Hazard ratio,1018.0,444.19,2.29,6960.0,4269.62,1.63,Exposed group,Unexposed group,2.29,1.63,Unexposed group
7,analysis,MDD diagnosis,analysis,MDD diagnosis,455,455.0,Hemorrhoids,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,838.0,0.4022943914861042,0.0379406865670489,1.4952514571869904,1.4952514571869904,1.4952514571869904,1.3880926989127,1.6106827173510192,2.8781704713923343e-26,8.497455677444036e-26,True,True,elevated,,Hazard ratio,838.0,434.77,1.93,5387.0,4110.27,1.31,Exposed group,Unexposed group,1.93,1.31,Unexposed group
59,analysis,MDD diagnosis,analysis,MDD diagnosis,411.2,411.2,Myocardial infarction,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,2103.0,0.2429151129093159,0.0238598546298195,1.274960391846362,1.274960391846362,1.274960391846362,1.2167091520805393,1.3360004714334788,2.412858715762127e-24,6.799874562602358e-24,True,True,elevated,,Hazard ratio,2103.0,437.78,4.8,15353.0,4146.06,3.7,Exposed group,Unexposed group,4.8,3.7,Unexposed group
149,analysis,MDD diagnosis,analysis,MDD diagnosis,411.4,411.4,Coronary atherosclerosis,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,824.0,0.3478859586574746,0.038588635862964,1.4160707499219385,1.4160707499219385,1.4160707499219385,1.3129181199937843,1.5273278190371649,1.9643312318488186e-19,4.937373096268653e-19,True,True,elevated,,Hazard ratio,824.0,444.01,1.86,5274.0,4200.14,1.26,Exposed group,Unexposed group,1.86,1.26,Unexposed group
46,analysis,MDD diagnosis,analysis,MDD diagnosis,401.1,401.1,Essential hypertension,circulatory system,Circulatory system diseases,circulatory system,Circulatory system diseases,#F46D5A,Both,2913.0,0.1699893219777694,0.0200146256299194,1.1852921946763872,1.1852921946763872,1.1852921946763872,1.1396949692198195,1.2327136862966988,2.009285386778858e-17,4.557647340742288e-17,True,True,elevated,,Hazard ratio,2913.0,442.07,6.59,24050.0,4263.81,5.64,Exposed group,Unexposed group,6.59,5.64,Unexposed group
